code,airline,belongs
EU,Ecuatoriana,厄瓜多尔
EV,东南大西洋航空/达美航空接驳, 美国
EW,Eurowings,
EX,Aerolineas Santo Domingo,
EY,Etihad Airways|阿提哈德航空公司,阿联酋
EZ,常青国际航空, 美国
EZ,Sun Air of Scandinavia|斯堪的纳维亚阳光航空, 丹麦
F4,上海国际货运航空,中华人民共和国
F6,中国航空股份有限公司,中华人民共和国
F9,Frontier Airlines|边疆航空,美国
FB,Bulgaria Air|保加利亚航空,保加利亚
FC,Finncomm Airlines|芬兰通勤航空,芬兰
FD,Thai AirAsia|泰国亚洲航空,泰国
FE,Far Eastern Air Transport|远东航空,台湾
FG,Ariana Afghan Airlines|阿富汗航空,阿富汗
FI,Icelandair|冰岛航空,冰岛
FJ,Air Pacific|太平洋航空,斐济
FL,AirTran Airways,美国
FM,Shanghai Airlines|上海航空公司,中华人民共和国
FQ,Thomas Cook Airlines,比利时
FR,Ryanair/Centre-South,爱尔兰/俄罗斯
FT,Siem Reap Airways International|暹粒航空公司,柬埔寨
FV,Pulkovo Aviation,俄罗斯
FW,Fair|IBEX航空,日本
FX,联邦快递,美国
FZ,Flydubai|迪拜航空,阿联酋
G0,Ghana International Airlines|加纳国际航空公司,加纳
G4,Allegiant Air|忠实航空,美国
G5,Enkor,俄罗斯
G6,吴哥航空,柬埔寨
G8,中国长城航空公司,中国
G8,Go Air,印度
G9,Air Arabia|阿拉伯航空,阿联酋
GA,Garuda Indonesia|嘉鲁达印尼航空,印尼
GB,ABX Air,美国
GC,Gambia International Airlines|甘比亚国际航空,甘比亚
GE,Trans Asia Airways|复兴航空,台湾
GF,Gulf Air|海湾航空,巴林
GH,Ghana Airways|加纳航空,加纳
GM,Air Slovakia|斯洛伐克航空,斯洛伐克
GN,Air Gabon|加蓬航空,加蓬
GQ,Big Sky Airlines,美国
GS,Tianjin Airlines|天津航空,中国
GT,GB Airways,西班牙
GW,Kubun Airlines,俄罗斯
H2,Sky Airline,智利
H4,Héli Sécurité Helicopter Airlines,法国
H4,Inter Islands Airlines|岛际航空,佛得角
H5,Magadan Airlines,
H8,Dalavia Far East Airways,俄罗斯
HA,Hawaiian Airlines|夏威夷航空,美国
HD,Hokkaido International Airlines/Air Do|北海道国际航空,日本
HE,Luftfahrtgesellschaft Walter,德国
HG,Niki,奥地利
HM,Air Seychelles|塞舌尔航空,塞舌尔
HO,Juneyao Airlines|吉祥航空,中国
HP,America West|美西航空,美国
HU,Hainan Airlines|海南航空,中国
HV,Transavia Holland,荷兰
HW,Iceland Express/Hello|冰岛快捷航空,冰岛/瑞士
HX,香港航空,香港
HX,Trans North Aviation,美国
HY,Uzbekistan Airways|乌兹别克航空,乌兹别克
IA,IRAQI AIRWAYS|伊拉克航空,伊拉克
IB,IBERIA|西班牙国家航空,西班牙
IC,Indian Airlines,印度
IG,Meridiana|子午航空,意大利
IN,Macedonian Airlines|马其顿航空公司,马其顿
IR,Iran Air|伊朗航空,伊朗
IV,福建航空公司,中国
IV,Wind Jet,意大利
IW,AOM French Airlines,法国
IY,Yemenia Yemen Airways|也门航空,也门
IZ,Arkia Israeli Airlines|阿齐亚以色列航空,以色列
IX,印度航空快递公司,印度
J2,Azerbaijan Airlines|阿塞拜疆航空,阿塞拜疆
